frequence,nom_allele,symbole_allele,echantillon_uid
0.004,++-,++-,SA000070H
0.007,237,237,SA000250H
0.007,241,241,SA000250H
0.007,C6*var,C6*var,SA000318M
0.007,EcoRI Site Present,2=A,SA000047L
0.008,120,120,SA000005F
0.008,132,132,SA000005F
0.008,21,21,SA000023F
0.011,106,106,SA000036J
0.011,130,130,SA000007H
0.011,132,132,SA000007H
0.011,182,182,SA000007H
0.011,192,192,SA000007H
0.01,18,18,SA000052H
0.011,G6PD*A-,G6PD*A-,SA000356O
0.01,2,2,SA000197R
0.013,273,273,SA000250H
0.013,TF B,TF B,SA000359R
0.014,3,3,SA000239O
0.014,364,364,SA000036J
0.014,-++,-++,SA000070H
0.015,21,21,SA000022E
0.015,4,4,SA000419O
0.015,PGM1*Var,PGM1*Var,SA000419O
0.015,TF D,TF D,SA000274N
0.016,130,130,SA000005F
0.016,4,4,SA000421H
0.017,21,21,SA000100B
0.018,ORM1*F2,ORM1*F2,SA000423J
0.018,TF B,TF B,SA000358Q
0.018,TF D,TF D,SA000358Q
0.019,119,119,SA000005F
0.019,265,265,SA000250H
0.01,CAT 3,CAT 3,SA000272L
0.01,EcoRI Site Present,2=A,SA000008I
0.01,G6PD*A,G6PD*A,SA000274N
0.01,Restriction Site Absent,KpnI-,SA000207J
0.01,T,T,SA000090J
0.021,128,128,SA000007H
0.021,2,2,SA000239O
0.021,247,247,SA000036J
0.021,3++,3++,SA000017I
0.02,15,15,SA000052H
0.021,-+-,-+-,SA000070H
0.02,2,2,SA000197R
0.022,95,95,SA000014F
0.022,HBB*C,HBB*C,SA000356O
0.023,212,212,SA000007H
0.023,216,216,SA000007H
0.025,354,354,SA000014F
0.025,360,360,SA000014F
0.025,93,93,SA000005F
0.025,TF D,TF D,SA000359R
0.026,233,233,SA000250H
0.027,3+-,3+-,SA000017I
0.028,129,129,SA000005F
0.028,131,131,SA000005F
0.028,192,192,SA000373N
0.028,200,200,SA000373N
0.028,206,206,SA000373N
0.028,350,350,SA000036J
0.028,368,368,SA000036J
0.028,4-+,4-+,SA000005F
0.028,S32,S32,SA000036J
0.029,14,14,SA000052H
0.029,TF B,TF B,SA000274N
0.02,A,A,SA000103E
0.02,S31,S31,SA000036J
0.02,T,T,SA000091K
0.02,T,T,SA000103E
0.031,HBB*C,HBB*C,SA000357P
0.031,HBB*S,HBB*S,SA000357P
0.032,112,112,SA000007H
0.032,132,132,SA000036J
0.03,21 bp Deletion,0,SA000005F
0.03,2,2,SA000197R
0.032,96,96,SA000007H
0.033,TF B,TF B,SA000357P
0.033,TF D,TF D,SA000357P
0.034,206,206,SA000007H
0.034,210,210,SA000007H
0.034,214,214,SA000007H
0.035,--+,--+,SA000070H
0.036,3,3,SA000115H
0.036,3,3,SA000116I
0.037,121,121,SA000005F
0.039,245,245,SA000250H
0.039,269,269,SA000250H
0.039,9,9,SA000052H
0.03,C,C,SA000197R
0.03,ORM1*F2,ORM1*F2,SA000419O
0.03,Restriction Site Absent,KpnI-,SA000149O
0.041,S21,S21,SA000036J
0.04,21 bp Deletion,0,SA000047L
0.04,2,2,SA000197R
0.043,110,110,SA000007H
0.043,122,122,SA000007H
0.046,123,123,SA000005F
0.046,143,143,SA000005F
0.047,4--,4--,SA000020C
0.048,S22,S22,SA000036J
0.04,C,C,SA000197R
0.04,StuI Site Present,2=G,SA000001B
0.04,XbaI Site Present,2 =T,SA000005F
0.05,11,11,SA000022E
0.05,2,2,SA000197R
0.052,CP*D,CP*D,SA000356O
0.053,124,124,SA000007H
0.053,130,130,SA000036J
0.053,245,245,SA000036J
0.054,4++,4++,SA000017I
0.054,4+-,4+-,SA000020C
0.055,204,204,SA000373N
0.056,122,122,SA000005F
0.056,135,135,SA000005F
0.056,2,2,SA000114G
0.057,202,202,SA000007H
0.057,204,204,SA000007H
0.057,4++,4++,SA000005F
0.057,G6PD*A,G6PD*A,SA000356O
0.057,+-+,+-+,SA000070H
0.058,3++,3++,SA000020C
0.05,CAT 1,CAT 1,SA000272L
0.05,"*Val, *m1","*Val, *m1",SA000150G
0.05,"*Val, *m1","*Val, *m1",SA000200C
0.05,XbaI Site Present,2 =T,SA000001B
0.061,4+-,4+-,SA000005F
0.06,2,2,SA000197R
0.064,120,120,SA000036J
0.064,126,126,SA000036J
0.065,106,106,SA000005F
0.066,HBB*S,HBB*S,SA000356O
0.069,3+-,3+-,SA000020C
0.06,A,A,SA000415K
0.06,StuI Site Present,2=G,SA000005F
0.073,4+-,4+-,SA000017I
0.074,116,116,SA000036J
0.074,118,118,SA000007H
0.074,139,139,SA000005F
0.076,L12,L12,SA000036J
0.079,L11,L11,SA000036J
0.079,L21,L21,SA000036J
0.08,1,1,SA000197R
0.08,21 bp Deletion,0,SA000020C
0.083,125,125,SA000005F
0.083,354,354,SA000036J
0.085,22,22,SA000022E
0.086,L31,L31,SA000036J
0.087,3-+,3-+,SA000005F
0.088,S11,S11,SA000036J
0.088,+--,+--,SA000070H
0.08,"*Ile, *m1","*Ile, *m1",SA000200C
0.091,261,261,SA000250H
0.091,F,F,SA000412H
0.09,4--,4--,SA000005F
0.094,PGM1*2B,PGM1*2B,SA000419O
0.095,EcoRI Site Present,2=A,SA000005F
0.097,356,356,SA000036J
0.102,208,208,SA000007H
0.105,118,118,SA000005F
0.105,128,128,SA000005F
0.106,120,120,SA000007H
0.108,11,11,SA000023F
0.108,8,8,SA000052H
0.111,196,196,SA000373N
0.114,198,198,SA000007H
0.114,CP*A,CP*A,SA000356O
0.117,257,257,SA000250H
0.11,A,A,SA000197R
0.11,Restriction Site Present,HphI+,SA000212F
0.125,196,196,SA000007H
0.128,124,124,SA000036J
0.12,A,A,SA000091K
0.132,11,11,SA000100B
0.133,L22,L22,SA000036J
0.135,22,22,SA000023F
0.138,122,122,SA000036J
0.139,360,360,SA000036J
0.13,A,A,SA000091K
0.13,Codon 311 Cys,C,SA000025H
0.13,Restriction Site Present,HphI+,SA000207J
0.142,3++,3++,SA000005F
0.145,116,116,SA000005F
0.146,4++,4++,SA000020C
0.146,L32,L32,SA000036J
0.147,13,13,SA000052H
0.149,100,100,SA000007H
0.149,243,243,SA000036J
0.154,3--,3--,SA000020C
0.156,PGM1*1B,PGM1*1B,SA000419O
0.15,A,A,SA000091K
0.16,1,1,SA000197R
0.168,3+-,3+-,SA000005F
0.168,4--,4--,SA000017I
0.16,A,A,SA000090J
0.16,"*Ile, *m1","*Ile, *m1",SA000150G
0.16,"*Ile, *m2","*Ile, *m2",SA000150G
0.16,"*Ile, *m2","*Ile, *m2",SA000200C
0.16,T,T,SA000090J
0.16,T,T,SA000091K
0.175,2,2,SA000123G
0.176,12,12,SA000052H
0.176,133,133,SA000005F
0.176,S12,S12,SA000036J
0.177,2,2,SA000122F
0.17,A,A,SA000090J
0.17,A,A,SA000197R
0.182,200,200,SA000007H
0.187,4-+,4-+,SA000017I
0.18,A,A,SA000090J
0.18,Mbo I site present,A,SA000103E
0.18,StuI Site Present,2=G,SA000036J
0.191,114,114,SA000007H
0.192,300,300,SA000012D
0.193,194,194,SA000007H
0.194,127,127,SA000005F
0.194,3,3,SA000114G
0.196,11,11,SA000052H
0.197,2,2,SA000419O
0.1,Restriction Site Present,HphI+,SA000148N
0.202,118,118,SA000036J
0.208,3,3,SA000122F
0.213,137,137,SA000005F
0.213,3--,3--,SA000017I
0.213,95,95,SA000005F
0.219,---,---,SA000070H
0.222,358,358,SA000036J
0.22,MspI Site Absent,1,SA000154K
0.231,298,298,SA000012D
0.23,3-+,3-+,SA000020C
0.234,116,116,SA000007H
0.234,128,128,SA000036J
0.238,97,97,SA000005F
0.239,22,22,SA000100B
0.239,C6*B,C6*B,SA000318M
0.242,4-+,4-+,SA000020C
0.25,2,2,SA000115H
0.254,91,91,SA000005F
0.257,3-+,3-+,SA000017I
0.25,Mbo I site present,A,SA000109K
0.266,PGM1*2A,PGM1*2A,SA000419O
0.269,304,304,SA000012D
0.26,MseI Site Present,2,SA000154K
0.27,2,2,SA000197R
0.273,249,249,SA000250H
0.275,10,10,SA000052H
0.275,3,3,SA000123G
0.27,99,99,SA000005F
0.28,StuI Site Absent,1=T,SA000026I
0.2,A,A,SA000197R
0.2,G,G,SA000197R
0.2,Restriction Site Present,HphI+,SA000211E
0.2,XbaI Site Present,2 =T,SA000036J
0.307,2,2,SA000421H
0.308,296,296,SA000012D
0.31,2,2,SA000197R
0.32,2,2,SA000197R
0.325,358,358,SA000014F
0.32,C,C,SA000197R
0.33,2,2,SA000197R
0.34,2,2,SA000197R
0.357,2,2,SA000116I
0.367,3--,3--,SA000005F
0.369,253,253,SA000250H
0.38,1,1,SA000197R
0.38,2,2,SA000197R
0.383,241,241,SA000036J
0.389,352,352,SA000036J
0.393,ORM1*S,ORM1*S,SA000423J
0.394,239,239,SA000036J
0.3,Mbo I site present,A,SA000091K
0.3,XbaI Site Absent,1=G,SA000026I
0.41,1,1,SA000197R
0.424,ORM1*F1,ORM1*F1,SA000419O
0.425,*2,*2,SA000412H
0.42,c,c,SA000207J
0.43,XbaI Site Present,2 =T,SA000020C
0.44,C,C,SA000197R
0.44,Restriction Site Present,RsaI+,SA000207J
0.46,2,2,SA000197R
0.469,PGM1*1A,PGM1*1A,SA000419O
0.492,126,126,SA000005F
0.49,StuI Site Present,2=G,SA000020C
0.49,T,T,SA000197R
0.4,C,C,SA000103E
0.4,G,G,SA000103E
0.51,C,C,SA000197R
0.51,StuI Site Absent,1=T,SA000020C
0.54,1,1,SA000197R
0.546,ORM1*S,ORM1*S,SA000419O
0.55,1,1,SA000123G
0.562,+++,+++,SA000070H
0.56,Restriction Site Absent,RsaI-,SA000207J
0.56,T,T,SA000197R
0.575,*1,*1,SA000412H
0.57,XbaI Site Absent,1=G,SA000020C
0.589,ORM1*F1,ORM1*F1,SA000423J
0.58,g,g,SA000207J
0.59,2,2,SA000197R
0.607,1,1,SA000116I
0.612,12,12,SA000100B
0.615,1,1,SA000122F
0.62,1,1,SA000197R
0.62,2,2,SA000197R
0.625,362,362,SA000014F
0.63,"*Val, *m2","*Val, *m2",SA000150G
0.66,1,1,SA000197R
0.67,1,1,SA000197R
0.677,1,1,SA000421H
0.68,1,1,SA000197R
0.68,T,T,SA000197R
0.69,1,1,SA000197R
0.6,A,A,SA000103E
0.714,1,1,SA000115H
0.71,"*Val, *m2","*Val, *m2",SA000200C
0.72,StuI Site Present,2=G,SA000026I
0.73,1,1,SA000197R
0.749,12,12,SA000023F
0.74,MseI Site Absent,1,SA000154K
0.75,1,1,SA000114G
0.75,194,194,SA000373N
0.754,C6*A,C6*A,SA000318M
0.75,Mbo I site absent,G,SA000109K
0.788,1,1,SA000419O
0.78,MspI Site Present,2,SA000154K
0.7,Mbo I site absent,G,SA000091K
0.7,XbaI Site Present,2 =T,SA000026I
0.82,G,G,SA000090J
0.82,Mbo I site absent,G,SA000103E
0.82,StuI Site Absent,1=T,SA000036J
0.834,CP*B,CP*B,SA000356O
0.83,C,C,SA000090J
0.83,G,G,SA000197R
0.84,2,2,SA000197R
0.84,C,C,SA000090J
0.84,C,C,SA000091K
0.84,G,G,SA000090J
0.85,12,12,SA000022E
0.85,G,G,SA000091K
0.87,Codon 311 Ser,S,SA000025H
0.87,G,G,SA000091K
0.87,Restriction Site Absent,HphI-,SA000207J
0.88,C,C,SA000091K
0.89,G,G,SA000197R
0.89,Restriction Site Absent,HphI-,SA000212F
0.8,A,A,SA000197R
0.8,G,G,SA000197R
0.8,Restriction Site Absent,HphI-,SA000211E
0.8,XbaI Site Absent,1=G,SA000036J
0.905,EcoRI Site Absent,1=C,SA000005F
0.909,S,S,SA000412H
0.912,HBB*A,HBB*A,SA000356O
0.92,21 bp Insertion,0,SA000020C
0.92,2,2,SA000197R
0.932,G6PD*B,G6PD*B,SA000356O
0.934,TF C,TF C,SA000357P
0.938,HBB*A,HBB*A,SA000357P
0.94,1,1,SA000197R
0.94,AB,AB,SA000415K
0.94,CAT 2,CAT 2,SA000272L
0.94,StuI Site Absent,1=T,SA000005F
0.95,1,1,SA000197R
0.956,TF C,TF C,SA000274N
0.95,XbaI Site Absent,1=G,SA000001B
0.96,1,1,SA000197R
0.96,21 bp Insertion,0,SA000047L
0.962,TF C,TF C,SA000359R
0.964,TF C,TF C,SA000358Q
0.965,1,1,SA000239O
0.96,A,A,SA000197R
0.96,StuI Site Absent,1=T,SA000001B
0.96,XbaI Site Absent,1=G,SA000005F
0.97,1,1,SA000197R
0.97,21 bp Insertion,0,SA000005F
0.978,99,99,SA000014F
0.97,Restriction Site Present,KpnI+,SA000149O
0.97,T,T,SA000197R
0.98,1,1,SA000197R
0.98,C,C,SA000091K
0.98,C,C,SA000103E
0.98,G,G,SA000103E
0.99,1,1,SA000197R
0.993,EcoRI Site Absent,1=C,SA000047L
0.99,C,C,SA000090J
0.99,EcoRI Site Absent,1=C,SA000008I
0.99,G6PD*B,G6PD*B,SA000274N
0.99,Restriction Site Present,KpnI+,SA000207J
0.9,Restriction Site Absent,HphI-,SA000148N
