t(s)   Q (ml/s)	
0	0.0153
0.001	0.015
0.002	0.0152
0.003	0.0144
0.004	0.0146
0.005	0.0146
0.006	0.0147
0.007	0.014
0.008	0.0142
0.009	0.014
0.01	0.0139
0.011	0.0136
0.012	0.0137
0.013	0.0138
0.014	0.0138
0.015	0.0138
0.016	0.0138
0.017	0.014
0.018	0.0138
0.019	0.0143
0.02	0.0141
0.021	0.0142
0.022	0.0142
0.023	0.0144
0.024	0.0142
0.025	0.0144
0.026	0.0146
0.027	0.0146
0.028	0.0146
0.029	0.0147
0.03	0.0149
0.031	0.0148
0.032	0.0149
0.033	0.0152
0.034	0.0152
0.035	0.0151
0.036	0.0151
0.037	0.0151
0.038	0.0151
0.039	0.0151
0.04	0.0149
0.041	0.0145
0.042	0.0146
0.043	0.0146
0.044	0.0144
0.045	0.0145
0.046	0.0142
0.047	0.0146
0.048	0.0146
0.049	0.0143
0.05	0.0144
0.051	0.0141
0.052	0.0141
0.053	0.0145
0.054	0.0147
0.055	0.0146
0.056	0.0143
0.057	0.0141
0.058	0.0138
0.059	0.0138
0.06	0.0136
0.061	0.0132
0.062	0.0128
0.063	0.0126
0.064	0.0123
0.065	0.0116
0.066	0.0121
0.067	0.0116
0.068	0.0117
0.069	0.0113
0.07	0.011
0.071	0.0109
0.072	0.0107
0.073	0.0105
0.074	0.0102
0.075	0.0103
0.076	0.01
0.077	0.0099
0.078	0.0102
0.079	0.0103
0.08	0.01
0.081	0.0101
0.082	0.0102
0.083	0.0102
0.084	0.0103
0.085	0.0106
0.086	0.0107
0.087	0.0107
0.088	0.011
0.089	0.0112
0.09	0.0112
0.091	0.0117
0.092	0.012
0.093	0.0122
0.094	0.0125
0.095	0.0129
0.096	0.0131
0.097	0.0136
0.098	0.014
0.099	0.0149
0.1	0.015
0.101	0.0155
0.102	0.0158
0.103	0.0163
0.104	0.0166
0.105	0.0167
0.106	0.0172
0.107	0.0173
0.108	0.0176
0.109	0.0177
0.11	0.0177
0.111	0.0175
0.112	0.0176
0.113	0.0181
0.114	0.0178
0.115	0.0178
0.116	0.0178
0.117	0.018
0.118	0.0182
0.119	0.0182
0.12	0.0182
0.121	0.0183
0.122	0.0183
0.123	0.0186
0.124	0.0186
0.125	0.0187
0.126	0.0189
0.127	0.0194
0.128	0.0199
0.129	0.0204
0.13	0.0214
0.131	0.0221
0.132	0.023
0.133	0.024
0.134	0.0249
0.135	0.0261
0.136	0.0275
0.137	0.0292
0.138	0.0308
0.139	0.0324
0.14	0.0344
0.141	0.0366
0.142	0.0386
0.143	0.0409
0.144	0.043
0.145	0.0456
0.146	0.0486
0.147	0.0511
0.148	0.0543
0.149	0.0567
0.15	0.06
0.151	0.0629
0.152	0.066
0.153	0.069
0.154	0.0722
0.155	0.0754
0.156	0.0784
0.157	0.0816
0.158	0.0845
0.159	0.0876
0.16	0.0906
0.161	0.0934
0.162	0.0956
0.163	0.0984
0.164	0.1007
0.165	0.103
0.166	0.1052
0.167	0.107
0.168	0.1089
0.169	0.1106
0.17	0.1122
0.171	0.1136
0.172	0.115
0.173	0.1161
0.174	0.1177
