pop_uid,echantillon_uid,taille_echantillon,nom_echantillon
PO000005F,SA000005F,140,Biaka Pygmies
PO000007H,SA000007H,102,Danes
PO000008I,SA000008I,212,Druze; Israel
PO000008I,SA000047L,212,Druze; unrelated
PO000009J,SA000001B,100,Taiwanese Han
PO000010B,SA000197R,156,Japanese American; Southern California
PO000012D,SA000012D,48,Nasioi speakers
PO000013E,SA000109K,102,Mayan
PO000014F,SA000014F,100,Surui; Rondonia
PO000014F,SA000149O,48,Surui
PO000017I,SA000017I,108,Adygei
PO000020C,SA000020C,190,Mixed Europeans; Unrelated
PO000020C,SA000052H,108,Mixed Europeans; unrelated
PO000020C,SA000091K,60,Caucasian
PO000020C,SA000122F,140,Northern Europeans; unrelated males
PO000022E,SA000022E,52,Cambodian Americans
PO000023F,SA000023F,112,Cheyenne; Southern
PO000033G,SA000025H,104,Arizona Pima
PO000034H,SA000026I,106,Mexican Pima; Unrelated
PO000034H,SA000115H,28,Tsonga
PO000036J,SA000036J,156,Yoruba
PO000041F,SA000070H,408,South African; Random
PO000069P,SA000103E,208,Peruvian Quechua
PO000090J,SA000090J,100,Na-Dene; Nadleh Whuten Band
PO000097Q,SA000100B,78,Hausa
PO000098R,SA000207J,154,Mixed African; Brazil
PO000107I,SA000114G,44,Sotho-Tsonga
PO000108J,SA000116I,28,Nguni
PO000111D,SA000123G,40,French; unrelated CEPH
PO000124H,SA000211E,60,Xavante
PO000125I,SA000200C,60,Zoro
PO000125I,SA000212F,60,Zoro
PO000127K,SA000148N,58,Gaviao
PO000128L,SA000150G,56,Wai-Wai
PO000129M,SA000415K,40,Yanomami
PO000132G,SA000154K,40,Wayampi
PO000136K,SA000373N,126,Athens
PO000164L,SA000239O,142,Sephardi Jews; Greece and Turkey
PO000166N,SA000250H,154,Manado
PO000186P,SA000272L,100,San Salvador de Jujuy
PO000188R,SA000274N,100,Abra Pampa
PO000213G,SA000318M,186,Turkish
PO000245L,SA000356O,96,Cajueiro
PO000246M,SA000357P,64,Curiepe
PO000247N,SA000358Q,58,Birongo
PO000248O,SA000359R,76,Sotillo
PO000295Q,SA000412H,190,Lambadi
PO000296R,SA000419O,256,Upper Garfagnana
PO000296R,SA000421H,188,Castelnuovo
PO000296R,SA000423J,206,Western Garfagnana
